RU000A0ZZQJ5,А7 Агро обК01,А7 Агро обК01,A7 Agro obK01,1000.0,RUB,,RU000A0ZZQJ5,100000000,stock_bonds,2023-10-19,36.15,,non_exchange_bond
RU000A1032P1,ООО «СФО ВТБ РКС-1 »,ВТБРКС01,VTBRKS01,1000.0,SUR,2021-06-10,RU000A1032P1,35000000,stock_bonds,2030-12-01,6.58,,corporate_bond
RU000A103TS0,ТЕХНО Лизинг 001P-05,ТЕХЛиз 1P5,TECHNO Leasing 001P-05,1000.0,SUR,2021-10-04,RU000A103TS0,500000,stock_bonds,2027-09-03,9.45,,exchange_bond
RU000A101JE5,СберИОС 001Р-239R IMOEX_asn 4Г,СберИОС239,SberIOS 001P-239R IMOEX_asn 4Y,1000.0,SUR,2020-03-31,RU000A101JE5,446457,stock_bonds,2024-03-07,0.39,,exchange_bond
RU000A0JV227,ПАО НК Роснефть БО-14,РоснфтБО14,Rosneft  BO-14,1000.0,SUR,2014-12-11,RU000A0JV227,30000000,stock_bonds,2024-11-28,46.87,,exchange_bond
RU000A102R16,ВЭБ.РФ ПБО-001Р-К103,ВЭБ1P-К103,VEB.RF PBO-001P-K103,1000.0,SUR,2021-02-10,RU000A102R16,4850000,stock_bonds,2022-02-10,51.5,,exchange_bond
RU000A0ZZ893,КАМАЗ ПАО об. БО-11,КАМАЗ БО11,KAMAZ PTC BO-11,1000.0,SUR,2018-05-29,RU000A0ZZ893,3000000,stock_bonds,2033-05-10,45.38,,corporate_bond
RU000A0JXMB0,САМАРАТРАНСНЕФТЬ-ТЕРМИНАЛ об.2,СТТ 02,SAMARATRANSOIL-TERMINAL 02,1000.0,SUR,2017-03-30,RU000A0JXMB0,3000000,stock_bonds,2022-03-30,50.14,,corporate_bond
RU000A0JUCX1,ИА ПСПб ЗАО об.кл.А,ИА ПСПб А,IA PSPb A,18.94,SUR,2013-12-24,RU000A0JUCX1,1878948,stock_bonds,2041-07-15,0.41,,corporate_bond
RU000A0ZZQK3,Сбербанк ПАО ИОС 001P-31R,СберИОС31,Sberbank IOS 001P-31R,1000.0,SUR,2018-10-30,RU000A0ZZQK3,490512,stock_bonds,2022-10-27,0.4,,exchange_bond
RU000A100SZ3,Почта России (АО) БО-001P-06,ПочтаРБ1P6,Russian Post BO-001P-06,1000.0,SUR,2019-09-05,RU000A100SZ3,5000000,stock_bonds,2029-08-23,37.65,,exchange_bond
RU000A102UX0,ВЭБ.РФ ПБО-001Р-К104,ВЭБ1P-К104,VEB.RF PBO-001P-K104,1000.0,SUR,2021-10-18,RU000A102UX0,13000000,stock_bonds,2022-10-18,80.0,,exchange_bond
XS1433454243,SCF Capital DAC 16/06/23,SCF-23,SCF Capital DAC 16/06/23,1000.0,USD,2016-06-16,XS1433454243,498427,stock_bonds,2023-06-16,26.875,,corporate_bond
RU000A0ZZUS8,"""Россельхозбанк"" (АО) обл.31Т1",РСХБ 31Т1,Rosselhozbank 31T1,1000.0,SUR,2018-11-22,RU000A0ZZUS8,5000000,stock_bonds,,50.36,,corporate_bond
RU000A100XC2,Полюс ПБО-01,Полюс Б1P1,Polyus PBO-01,1000.0,SUR,2019-10-14,RU000A100XC2,20000000,stock_bonds,2029-10-01,36.9,,exchange_bond
RU000A101S57,Банк ВТБ (ПАО) Б-1-74,ВТБ Б-1-74,Bank VTB B-1-74,1000.0,SUR,2020-06-09,RU000A101S57,380043,stock_bonds,2022-06-07,0.05,,exchange_bond
RU000A101RT6,Республика Казахстан 05,Казахст05,Republic of Kazakhstan 05,1000.0,SUR,2021-06-28,RU000A101RT6,10000000,stock_bonds,2026-06-22,37.3,,ofz_bond
RU000A0ZYF61,Ненецкий авт.округ 2017,НАО 2017,Nenets Aut.Okrug 2017,400.0,SUR,2017-11-09,RU000A0ZYF61,2000000,stock_bonds,2024-11-07,7.78,,subfederal_bond
RU000A102V85,ТЕРРА ПЛАСТ обК01,ТЕРРА ПЛАСТ обК01,TERRA PLAST obK01,1000.0,RUB,,RU000A102V85,,stock_bonds,2024-03-14,39.89,,non_exchange_bond
RU000A1001V4,ВЭБ.РФ ПБО-001Р-13,ВЭБ 1P-13,VEB.RF PBO-001P-13,1000.0,SUR,2019-01-25,RU000A1001V4,10000000,stock_bonds,2024-01-19,45.28,,exchange_bond
